Name,log2FoldChange
Cc72_00056795-RA,NA
Cc72_00056752-RA,0.540129966
Cc72_00056749-RA,0.446851476
Cc72_00056747-RA,NA
Cc72_00056748-RA,1.106442546
Cc72_00056751-RA,0.461731875
Cc72_00056746-RA,NA
Cc72_00056750-RA,NA
Cc72_00056745-RA,NA
Cc72_00056763-RA,-0.278118157
Cc72_00056757-RA,NA
Cc72_00056760-RA,NA
Cc72_00056758-RA,NA
Cc72_00056761-RA,NA
Cc72_00056759-RA,NA
Cc72_00056762-RA,NA
Cc72_00056765-RA,-0.244328637
Cc72_00056766-RA,NA
Cc72_00056769-RA,NA
Cc72_00056767-RA,-0.244328637
Cc72_00056768-RA,0.017098738
Cc72_00013106-RA,0.446851476
Cc72_00013112-RA,NA
Cc72_00013109-RA,NA
Cc72_00013107-RA,NA
Cc72_00013113-RA,NA
Cc72_00013111-RA,0.886225914
Cc72_00013110-RA,-0.967149453
Cc72_00013114-RA,NA
Cc72_00013108-RA,NA
Cc72_00013122-RA,NA
Cc72_00013116-RA,NA
Cc72_00013115-RA,NA
Cc72_00013121-RA,NA
Cc72_00013118-RA,NA
Cc72_00013117-RA,NA
Cc72_00013119-RA,NA
Cc72_00013120-RA,-1.263901589
Cc72_00013128-RA,NA
Cc72_00013131-RA,NA
Cc72_00013132-RA,NA
Cc72_00013126-RA,0.46625942
Cc72_00013123-RA,0.446851476
Cc72_00013133-RA,0.466319906
Cc72_00013127-RA,0.463212021
Cc72_00013124-RA,0.148994291
Cc72_00013125-RA,0.03142979
Cc72_00013129-RA,NA
Cc72_00013130-RA,NA
Cc72_00013136-RA,NA
Cc72_00013139-RA,0.803781774
Cc72_00013134-RA,NA
Cc72_00013135-RA,0.29153568
Cc72_00013137-RA,1.218818538
Cc72_00013140-RA,NA
Cc72_00013138-RA,NA
Cc72_00013141-RA,0.326968657
Cc72_00013144-RA,0.178409681
Cc72_00013145-RA,0.317451079
Cc72_00013148-RA,-0.895331879
Cc72_00013146-RA,-0.057344078
Cc72_00013142-RA,-0.806487639
Cc72_00013143-RA,-0.03200738
Cc72_00013147-RA,NA
Cc72_00013152-RA,NA
Cc72_00013159-RA,-2.067012483
Cc72_00013154-RA,-0.581794958
Cc72_00013156-RA,NA
Cc72_00013151-RA,-0.514877159
Cc72_00013157-RA,-0.034634183
Cc72_00013150-RA,0.797485152
Cc72_00013153-RA,0.472049453
Cc72_00013155-RA,-1.529578813
Cc72_00013149-RA,0.552683913
Cc72_00013158-RA,-0.75854406
Cc72_00013165-RA,0.439452509
Cc72_00013161-RA,-1.214751109
Cc72_00013160-RA,0.375072293
Cc72_00013163-RA,-1.490915285
Cc72_00013167-RA,0.137100257
Cc72_00013162-RA,1.210266371
Cc72_00013164-RA,-1.384072509
Cc72_00013166-RA,-1.62846111
Cc72_00013173-RA,-0.240949835
Cc72_00013177-RA,-1.162608009
Cc72_00013170-RA,-1.453033389
Cc72_00013171-RA,0.84287196
Cc72_00013169-RA,0.178347755
Cc72_00013174-RA,0.193111997
Cc72_00013172-RA,NA
Cc72_00013176-RA,NA
Cc72_00013175-RA,0.154464441
Cc72_00013168-RA,NA
Cc72_00013178-RA,-0.407091529
