Name	Cluster
Cc72_00056752-RA	11
Cc72_00056748-RA	3
Cc72_00056751-RA	5
Cc72_00056750-RA	2
Cc72_00056745-RA	2
Cc72_00056763-RA	2
Cc72_00056757-RA	12
Cc72_00056760-RA	12
Cc72_00056759-RA	15
Cc72_00056762-RA	15
Cc72_00056765-RA	3
Cc72_00056766-RA	4
Cc72_00056769-RA	4
Cc72_00056767-RA	3
Cc72_00056768-RA	10
Cc72_00013106-RA	11
Cc72_00013109-RA	15
Cc72_00013113-RA	14
Cc72_00013111-RA	12
Cc72_00013110-RA	5
Cc72_00013108-RA	8
Cc72_00013122-RA	12
Cc72_00013121-RA	12
Cc72_00013120-RA	1
Cc72_00013128-RA	9
Cc72_00013132-RA	11
Cc72_00013126-RA	13
Cc72_00013123-RA	16
Cc72_00013133-RA	11
Cc72_00013127-RA	13
Cc72_00013124-RA	3
Cc72_00013125-RA	13
Cc72_00013136-RA	15
Cc72_00013139-RA	12
Cc72_00013135-RA	3
Cc72_00013137-RA	12
Cc72_00013140-RA	15
Cc72_00013138-RA	9
Cc72_00013141-RA	16
Cc72_00013144-RA	10
Cc72_00013145-RA	3
Cc72_00013148-RA	5
Cc72_00013146-RA	13
Cc72_00013142-RA	7
Cc72_00013143-RA	4
Cc72_00013159-RA	14
Cc72_00013154-RA	4
Cc72_00013156-RA	9
Cc72_00013151-RA	4
Cc72_00013157-RA	11
Cc72_00013150-RA	12
Cc72_00013153-RA	16
Cc72_00013155-RA	8
Cc72_00013149-RA	16
Cc72_00013158-RA	4
Cc72_00013165-RA	16
Cc72_00013161-RA	4
Cc72_00013160-RA	16
Cc72_00013163-RA	4
Cc72_00013167-RA	3
Cc72_00013162-RA	3
Cc72_00013164-RA	9
Cc72_00013166-RA	14
Cc72_00013173-RA	7
Cc72_00013177-RA	8
Cc72_00013170-RA	9
Cc72_00013171-RA	2
Cc72_00013169-RA	13
Cc72_00013174-RA	12
Cc72_00013172-RA	12
Cc72_00013176-RA	15
Cc72_00013175-RA	15
Cc72_00013178-RA	9
Cc72_00013179-RA	14
Cc72_00013180-RA	4
Cc72_00013185-RA	12
Cc72_00013184-RA	4
Cc72_00013182-RA	10
Cc72_00013181-RA	6
Cc72_00013183-RA	9
Cc72_00013191-RA	11
Cc72_00013188-RA	15
Cc72_00013192-RA	13
Cc72_00013190-RA	10
Cc72_00013187-RA	6
Cc72_00013186-RA	4
Cc72_00013195-RA	12
Cc72_00013196-RA	10
Cc72_00013200-RA	4
Cc72_00013202-RA	14
Cc72_00013201-RA	16
Cc72_00013203-RA	11
Cc72_00013197-RA	9
Cc72_00013206-RA	15
Cc72_00013198-RA	14
Cc72_00013199-RA	14
Cc72_00013204-RA	2
Cc72_00013205-RA	15
Cc72_00013211-RA	4
Cc72_00013210-RA	10
Cc72_00013212-RA	14
Cc72_00013209-RA	13
Cc72_00013219-RA	15
Cc72_00013215-RA	13
Cc72_00013216-RA	13
Cc72_00013218-RA	15
Cc72_00013214-RA	16
Cc72_00013217-RA	5
Cc72_00013223-RA	1
Cc72_00013226-RA	7
Cc72_00013225-RA	9
Cc72_00013224-RA	7
Cc72_00013221-RA	4
Cc72_00013222-RA	4
Cc72_00013235-RA	4
Cc72_00013234-RA	4
Cc72_00013230-RA	9
Cc72_00013231-RA	4
Cc72_00013232-RA	9
Cc72_00013236-RA	5
Cc72_00013227-RA	15
Cc72_00013228-RA	9
Cc72_00013238-RA	14
Cc72_00013237-RA	7
Cc72_00013248-RA	4
Cc72_00013246-RA	4
