Name,Pearson
Cc72_00056795-RA,
Cc72_00056752-RA,0.134599009
Cc72_00056749-RA,
Cc72_00056747-RA,
Cc72_00056748-RA,-0.298658707
Cc72_00056751-RA,-0.848806714
Cc72_00056746-RA,
Cc72_00056750-RA,0.410114644
Cc72_00056745-RA,-0.055314478
Cc72_00056763-RA,0.499287367
Cc72_00056757-RA,0.484231861
Cc72_00056760-RA,0.484231861
Cc72_00056758-RA,
Cc72_00056761-RA,
Cc72_00056759-RA,-0.533264642
Cc72_00056762-RA,-0.533264642
Cc72_00056765-RA,-0.186988864
Cc72_00056766-RA,-0.817332319
Cc72_00056769-RA,-0.817332319
Cc72_00056767-RA,-0.186988864
Cc72_00056768-RA,0.261074323
Cc72_00013106-RA,0.188498739
Cc72_00013112-RA,
Cc72_00013109-RA,-0.668971582
Cc72_00013107-RA,
Cc72_00013113-RA,-0.644351018
Cc72_00013111-RA,0.615229075
Cc72_00013110-RA,-0.862353237
Cc72_00013114-RA,
Cc72_00013108-RA,-0.319557313
Cc72_00013122-RA,0.448801458
Cc72_00013116-RA,
Cc72_00013115-RA,
Cc72_00013121-RA,0.608298287
Cc72_00013118-RA,
Cc72_00013117-RA,
Cc72_00013119-RA,
Cc72_00013120-RA,0.035018845
Cc72_00013128-RA,-0.289962073
Cc72_00013131-RA,
Cc72_00013132-RA,0.207071794
Cc72_00013126-RA,0.680041482
Cc72_00013123-RA,0.664668454
Cc72_00013133-RA,0.188095227
Cc72_00013127-RA,0.626180693
Cc72_00013124-RA,-0.618927312
Cc72_00013125-RA,0.498822343
Cc72_00013129-RA,
Cc72_00013130-RA,
Cc72_00013136-RA,-0.533036861
Cc72_00013139-RA,0.413244382
Cc72_00013134-RA,
Cc72_00013135-RA,0.037598238
Cc72_00013137-RA,0.563829664
Cc72_00013140-RA,-0.533178084
Cc72_00013138-RA,-0.513993756
Cc72_00013141-RA,0.945581162
Cc72_00013144-RA,0.277141374
Cc72_00013145-RA,-0.459737429
Cc72_00013148-RA,-0.832895461
Cc72_00013146-RA,0.620946494
Cc72_00013142-RA,-0.630929111
Cc72_00013143-RA,-0.847505672
Cc72_00013147-RA,
Cc72_00013152-RA,
Cc72_00013159-RA,-0.920179406
Cc72_00013154-RA,-0.836132403
Cc72_00013156-RA,-0.338288066
Cc72_00013151-RA,-0.802144613
Cc72_00013157-RA,-0.390723209
Cc72_00013150-RA,0.842445095
Cc72_00013153-RA,0.808379073
Cc72_00013155-RA,-0.489928451
Cc72_00013149-RA,0.776699334
Cc72_00013158-RA,-0.899234104
Cc72_00013165-RA,0.880178521
Cc72_00013161-RA,-0.873462672
Cc72_00013160-RA,0.75149286
Cc72_00013163-RA,-0.926112588
Cc72_00013167-RA,-0.168846302
Cc72_00013162-RA,-0.193379329
Cc72_00013164-RA,-0.774984611
Cc72_00013166-RA,-0.731915337
Cc72_00013173-RA,-0.594571198
Cc72_00013177-RA,-0.503690915
Cc72_00013170-RA,-0.665630439
Cc72_00013171-RA,0.601213695
Cc72_00013169-RA,0.483388093
Cc72_00013174-RA,0.338683455
Cc72_00013172-RA,0.484231861
Cc72_00013176-RA,-0.709725926
Cc72_00013175-RA,-0.587285038
Cc72_00013168-RA,
Cc72_00013178-RA,-0.761748326
Cc72_00013179-RA,-0.728810473
Cc72_00013180-RA,-0.784354602
Cc72_00013185-RA,0.420699497
Cc72_00013184-RA,-0.565871761
Cc72_00013182-RA,0.086570516
Cc72_00013181-RA,0.157930791
Cc72_00013183-RA,-0.154801459
Cc72_00013191-RA,0.158447721
Cc72_00013188-RA,-0.696446405
Cc72_00013192-RA,0.697515672
Cc72_00013193-RA,
Cc72_00013190-RA,0.265621438
Cc72_00013189-RA,
Cc72_00013187-RA,-0.373271967
Cc72_00013186-RA,-0.599281983
Cc72_00013195-RA,0.422700316
Cc72_00013196-RA,0.190049252
Cc72_00013194-RA,
Cc72_00013200-RA,-0.803087591
Cc72_00013202-RA,-0.777799947
Cc72_00013201-RA,0.875409864
Cc72_00013203-RA,0.418880491
Cc72_00013197-RA,-0.714044739
Cc72_00013206-RA,-0.259411361
Cc72_00013198-RA,-0.543072143
Cc72_00013199-RA,-0.557324508
Cc72_00013204-RA,0.318816589
Cc72_00013205-RA,-0.624416893
Cc72_00013211-RA,-0.869222957
Cc72_00013210-RA,0.11032074
Cc72_00013207-RA,
Cc72_00013213-RA,
Cc72_00013212-RA,-0.713754986
Cc72_00013209-RA,0.334831693
Cc72_00013208-RA,
