"index","log2FoldChange"
"Cc72_00056795-RA",NA
"Cc72_00056752-RA",1.05743229395922
"Cc72_00056749-RA",2.04161227270412
"Cc72_00056747-RA",NA
"Cc72_00056748-RA",-0.0495185250592274
"Cc72_00056751-RA",1.84188649548081
"Cc72_00056746-RA",NA
"Cc72_00056750-RA",-4.44516903174667
"Cc72_00056745-RA",1.18000235606898
"Cc72_00056763-RA",-2.08814845562721
"Cc72_00056757-RA",NA
"Cc72_00056760-RA",NA
"Cc72_00056758-RA",NA
"Cc72_00056761-RA",NA
"Cc72_00056759-RA",NA
"Cc72_00056762-RA",NA
"Cc72_00056765-RA",-0.478938692234157
"Cc72_00056766-RA",NA
"Cc72_00056769-RA",NA
"Cc72_00056767-RA",-0.478938692234157
"Cc72_00056768-RA",-0.948534538454497
"Cc72_00013106-RA",2.57754503321282
"Cc72_00013112-RA",NA
"Cc72_00013109-RA",NA
"Cc72_00013107-RA",NA
"Cc72_00013113-RA",-2.16742459453008
"Cc72_00013111-RA",2.27541361065253
"Cc72_00013110-RA",-4.22970949566239
"Cc72_00013114-RA",NA
"Cc72_00013108-RA",NA
"Cc72_00013122-RA",0.793404876193514
"Cc72_00013116-RA",2.66294480333016
"Cc72_00013115-RA",NA
"Cc72_00013121-RA",-0.366044327805665
"Cc72_00013118-RA",NA
"Cc72_00013117-RA",NA
"Cc72_00013119-RA",NA
"Cc72_00013120-RA",0.159224066736155
"Cc72_00013128-RA",-0.877306697678309
"Cc72_00013131-RA",NA
"Cc72_00013132-RA",1.12099673894979
"Cc72_00013126-RA",0.0206867665279006
"Cc72_00013123-RA",-0.270483656260938
"Cc72_00013133-RA",0.813131294785069
"Cc72_00013127-RA",0.272015898805469
"Cc72_00013124-RA",0.0680730683910136
"Cc72_00013125-RA",-0.484271897865979
"Cc72_00013129-RA",NA
"Cc72_00013130-RA",NA
"Cc72_00013136-RA",-0.199570323639839
"Cc72_00013139-RA",0.816895677128097
"Cc72_00013134-RA",NA
"Cc72_00013135-RA",-0.141634246448164
"Cc72_00013137-RA",2.14228823996269
"Cc72_00013140-RA",-0.802556612692703
"Cc72_00013138-RA",NA
"Cc72_00013141-RA",0.36517786829125
"Cc72_00013144-RA",0.57663243033716
"Cc72_00013145-RA",0.205353826660416
"Cc72_00013148-RA",-0.959043387832554
"Cc72_00013146-RA",-0.281849632547718
"Cc72_00013142-RA",-0.737720858792237
"Cc72_00013143-RA",0.137102827175115
"Cc72_00013147-RA",NA
"Cc72_00013152-RA",NA
"Cc72_00013159-RA",-3.12991308095801
"Cc72_00013154-RA",0.106477291055689
"Cc72_00013156-RA",1.12099673894979
"Cc72_00013151-RA",-0.249902368234343
"Cc72_00013157-RA",0.375581120587646
"Cc72_00013150-RA",0.127727606498424
"Cc72_00013153-RA",0.562522322843035
"Cc72_00013155-RA",-1.72659887893865
"Cc72_00013149-RA",0.730555716593826
"Cc72_00013158-RA",-0.5695507005765
"Cc72_00013165-RA",0.262046535067646
"Cc72_00013161-RA",-1.54846519563498
"Cc72_00013160-RA",0.859024558787783
"Cc72_00013163-RA",-2.6580931254618
"Cc72_00013167-RA",-0.203244654272227
"Cc72_00013162-RA",-0.293350268443952
"Cc72_00013164-RA",-1.47410766636358
"Cc72_00013166-RA",-2.54593558899804
"Cc72_00013173-RA",-0.340284974864271
"Cc72_00013177-RA",-1.05920830699719
"Cc72_00013170-RA",-0.210890785325083
"Cc72_00013171-RA",0.108862222161638
"Cc72_00013169-RA",-0.209905002745065
"Cc72_00013174-RA",0.351983819253321
"Cc72_00013172-RA",NA
"Cc72_00013176-RA",-0.802556612692703
"Cc72_00013175-RA",0.377325783733477
"Cc72_00013168-RA",NA
"Cc72_00013178-RA",-0.872567526921646
"Cc72_00013179-RA",-0.966645848545823
"Cc72_00013180-RA",NA
"Cc72_00013185-RA",4.209430540851
"Cc72_00013184-RA",0.598178394242809
"Cc72_00013182-RA",0.314006078478721
"Cc72_00013181-RA",0.435261357658821
"Cc72_00013183-RA",2.89028766610279
"Cc72_00013191-RA",0.655460327304292
"Cc72_00013188-RA",-1.34722092005699
"Cc72_00013192-RA",0.923910544105518
"Cc72_00013193-RA",NA
"Cc72_00013190-RA",-0.020463041022776
"Cc72_00013189-RA",NA
"Cc72_00013187-RA",-0.116357785142235
"Cc72_00013186-RA",-3.8077144306674
"Cc72_00013195-RA",0.951355598043866
"Cc72_00013196-RA",-0.0488618546509086
"Cc72_00013194-RA",NA
"Cc72_00013200-RA",NA
"Cc72_00013202-RA",-0.145101556974074
"Cc72_00013201-RA",0.505024558865718
"Cc72_00013203-RA",1.15911779706124
"Cc72_00013197-RA",-4.26027025630026
"Cc72_00013206-RA",-1.20413254214137
"Cc72_00013198-RA",1.12099673894979
"Cc72_00013199-RA",0.227049730686338
"Cc72_00013204-RA",-0.229033499929222
"Cc72_00013205-RA",NA
"Cc72_00013211-RA",-0.690378139969981
"Cc72_00013210-RA",0.156665454599328
"Cc72_00013207-RA",NA
"Cc72_00013213-RA",NA
"Cc72_00013212-RA",-2.14609599932278
"Cc72_00013209-RA",0.329573965182815
"Cc72_00013208-RA",NA
"Cc72_00013219-RA",NA
"Cc72_00013215-RA",0.107786574816304
"Cc72_00013216-RA",0.302718069802337
"Cc72_00013218-RA",4.50333504545864
"Cc72_00013214-RA",0.349003192294088
"Cc72_00013217-RA",0.815654429730629
"Cc72_00013223-RA",1.29715629824129
"Cc72_00013226-RA",-2.00586414004543
"Cc72_00013225-RA",NA
"Cc72_00013224-RA",-4.74211656763433
"Cc72_00013221-RA",0.160193304420305
"Cc72_00013222-RA",-0.168198328450338
"Cc72_00013220-RA",NA
"Cc72_00013235-RA",1.12099673894979
"Cc72_00013234-RA",NA
"Cc72_00013230-RA",-2.47246233371541
"Cc72_00013231-RA",-1.23126771645196
"Cc72_00013232-RA",-1.7715938652668
"Cc72_00013236-RA",-6.85810440421332
"Cc72_00013227-RA",-3.95296902877964
"Cc72_00013228-RA",-3.0498167572028
"Cc72_00013229-RA",NA
"Cc72_00013233-RA",NA
"Cc72_00013239-RA",1.12099673894979
"Cc72_00013240-RA",1.12099673894979
"Cc72_00013243-RA",NA
"Cc72_00013241-RA",NA
"Cc72_00013242-RA",NA
"Cc72_00013245-RA",NA
"Cc72_00013244-RA",NA
"Cc72_00013238-RA",0.0607144737610759
"Cc72_00013237-RA",-1.20599702192474
"Cc72_00013248-RA",-0.127159879524488
"Cc72_00013246-RA",-1.0985300550904
"Cc72_00013251-RA",0.112362410561522
"Cc72_00013249-RA",-0.287480782542476
"Cc72_00013247-RA",1.57974987018691
"Cc72_00013252-RA",NA
"Cc72_00013250-RA",-0.0416154103767105
"Cc72_00013253-RA",NA
"Cc72_00013255-RA",NA
"Cc72_00013254-RA",NA
"Cc72_00013257-RA",NA
"Cc72_00013260-RA",NA
"Cc72_00013259-RA",-0.994315777033903
"Cc72_00013258-RA",NA
"Cc72_00013256-RA",-0.14006493753564
"Cc72_00013263-RA",NA
"Cc72_00013265-RA",-0.26410776370188
"Cc72_00013262-RA",-0.945320450462788
"Cc72_00013268-RA",-2.74259020488876
"Cc72_00013266-RA",-5.08928072848417
"Cc72_00013264-RA",-0.229872428941093
"Cc72_00013261-RA",0.149736819691019
"Cc72_00013269-RA",-1.22642910372407
"Cc72_00013272-RA",-1.06504710314856
"Cc72_00013274-RA",-0.128204004618524
"Cc72_00013270-RA",NA
"Cc72_00013267-RA",-0.0107712858693268
"Cc72_00013271-RA",NA
"Cc72_00013275-RA",-0.0213712463121449
"Cc72_00013273-RA",-0.0393121483510823
"Cc72_00013279-RA",-1.28829590464539
"Cc72_00013277-RA",0.148953895430286
"Cc72_00013283-RA",-1.58771615672045
"Cc72_00013280-RA",-0.220864190690899
"Cc72_00013278-RA",0.0677355642185983
"Cc72_00013282-RA",1.0148703847619
"Cc72_00013276-RA",0.154469076039725
"Cc72_00013281-RA",2.98485605723458
"Cc72_00013285-RA",NA
"Cc72_00013287-RA",1.00138151749552
"Cc72_00013286-RA",-2.28596856130211
"Cc72_00013284-RA",NA
"Cc72_00013288-RA",2.13155350004325
"Cc72_00013296-RA",1.12099673894979
"Cc72_00013291-RA",-1.70646857542532
"Cc72_00013290-RA",-1.43167880384971
"Cc72_00013289-RA",0.466585235437797
"Cc72_00013292-RA",0.0666237385824299
"Cc72_00013294-RA",-0.262419667459396
"Cc72_00013295-RA",-0.142130970667546
"Cc72_00013293-RA",1.87391940173311
"Cc72_00013301-RA",-0.442596378630324
"Cc72_00013302-RA",-1.52592646154353
