Name,30D_1,30D_2,30D_3,50D_1,50D_2,50D_3
Cc72_00056795-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00056752-RA,19.0,15.0,19.0,24.0,20.447,58.0
Cc72_00056749-RA,0.0,0.0,0.0,0.0,2.1006,0.0
Cc72_00056747-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00056748-RA,10.3985,12.1852,7.9464,1.51273,8.68797,16.0
Cc72_00056751-RA,1.0,0.0,2.0,1.92361,2.69728,5.01468
Cc72_00056746-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00056750-RA,1.14411,6.37437,6.23789,0.0,0.0,0.0
Cc72_00056745-RA,0.0,0.0,0.515829,1.66749,0.0,0.0
Cc72_00056763-RA,259.137,208.487,241.0,22.0,37.0,97.0
Cc72_00056757-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00056760-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00056758-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00056761-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00056759-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00056762-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00056765-RA,168.0,191.0,147.0,105.5,78.5,144.0
Cc72_00056766-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00056769-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00056767-RA,168.0,191.0,147.0,105.5,78.5,144.0
Cc72_00056768-RA,7.0,12.0,10.0,4.0,1.0,9.0
Cc72_00013106-RA,4.17168,18.4235,0.0,51.2749,33.9902,28.8823
Cc72_00013112-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013109-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013107-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013113-RA,2.59657,0.0,0.0,0.0,0.0,0.0
Cc72_00013111-RA,3.0,5.0,2.0,13.0,9.0,22.0
Cc72_00013110-RA,7.0,4.0,1.0,0.0,0.0,0.0
Cc72_00013114-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013108-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013122-RA,9.0,4.0,5.0,15.0,4.0,8.0
Cc72_00013116-RA,0.0,0.0,0.0,1.0,2.0,0.0
Cc72_00013115-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013121-RA,8.336,2.10527,3.07695,1.0,4.0,4.17933
Cc72_00013118-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013117-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013119-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013120-RA,0.0,1.0,0.0,0.0,0.0,1.0
Cc72_00013128-RA,7.02112,6.0,0.0,2.00379,3.00737,1.00112
Cc72_00013131-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013132-RA,0.0,0.0,0.0,0.0,0.0,1.0
Cc72_00013126-RA,64.432,115.586,84.8785,77.4535,87.2407,77.5465
Cc72_00013123-RA,12.0,4.0,4.0,2.0,4.0,9.0
Cc72_00013133-RA,184.083,185.899,154.629,268.0,266.562,289.362
Cc72_00013127-RA,24.504,53.2076,43.2819,36.408,42.0676,56.0558
Cc72_00013124-RA,191.49,182.508,164.501,156.044,152.198,200.262
Cc72_00013125-RA,85.0,130.971,83.0,52.0,59.876,82.0
Cc72_00013129-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013130-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013136-RA,8.0,6.0,0.0,1.0,3.0,7.0
Cc72_00013139-RA,441.0,305.0,330.0,499.0,574.0,620.0
Cc72_00013134-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013135-RA,943.0,700.0,772.0,631.0,563.0,768.0
Cc72_00013137-RA,0.0,0.0,0.0,2.0,0.0,0.0
Cc72_00013140-RA,0.0,1.0,0.0,0.0,0.0,0.0
Cc72_00013138-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013141-RA,1183.0,797.0,952.0,1029.0,1235.0,1094.0
Cc72_00013144-RA,60.0,48.0,62.0,86.0,66.0,74.0
Cc72_00013145-RA,216.0,212.0,198.0,181.0,199.0,273.0
Cc72_00013148-RA,22.0,18.0,11.0,6.0,12.0,5.0
Cc72_00013146-RA,1161.0,1232.0,962.0,762.289,823.0,884.0
Cc72_00013142-RA,168.0,135.0,92.0,71.0,34.0,108.0
Cc72_00013143-RA,372.0,309.0,293.0,320.0,322.0,309.0
Cc72_00013147-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013152-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013159-RA,2.16141,19.2647,6.39162,0.0,0.0,3.28696
Cc72_00013154-RA,103.0,92.0,94.0,72.0,89.0,121.0
Cc72_00013156-RA,0.0,0.0,0.0,1.0,0.0,0.0
Cc72_00013151-RA,14.0,14.0,11.0,8.0,5.0,17.0
