	Name	stitle
0	Cc72_00013316-RA	Myricetin 3-O-methyltransferase 3; Short=SlMOMT3; AltName: 3',4',5'-trimethyl myricetin 3-O-methyltransferase; AltName: 3',5'-dimethyl myricetin 3-O-methyltransferase; Short=Syringetin 3-O-methyltransferase; AltName: 3'-methyl myricetin 3-O-methyltransferase; Short=Laricitrin 3-O-methyltransferase; AltName: 3'-methyl quercetin 3-O-methyltransferase; Short=Isorhamnetin 3-O-methyltransferase; AltName: 4'-methyl kaempferol 3-O-methyltransferase; Short=Kaempferide 3-O-methyltransferase; AltName: 7-methyl quercetin 3-O-methyltransferase; Short=Rhamnetin 3-O-methyltransferase; AltName: Kaempferol 3-O-methyltransferase; AltName: Quercetin 3-O-methyltransferase [Solanum lycopersicum]
1	Cc72_00015797-RA	Stearoyl-[acyl-carrier-protein] 9-desaturase 6, chloroplastic; Short=Stearoyl-ACP desaturase 6; AltName: Acyl-[acyl-carrier-protein] desaturase 6; Precursor [Arabidopsis thaliana]
2	Cc72_00031990-RA	Isovalerate--CoA ligase AAE2; AltName: 3-methylpentanoate--CoA ligase AAE2; AltName: 4-methylpentanoate--CoA ligase AAE2; AltName: AMP-binding protein 2; Short=AtAMPBP2; AltName: Acyl-activating enzyme 2; AltName: Butanoate--CoA ligase AAE2; AltName: Hexanoate--CoA ligase AAE2; AltName: Pentanoate--CoA ligase AAE2 [Arabidopsis thaliana]
3	Cc72_00034723-RA	Acyltransferase Pun1; AltName: Acyltransferase 3; AltName: Capsaicin synthase; AltName: Protein PUNGENT 1 [Capsicum frutescens]
4	Cc72_00034724-RA	Acyltransferase Pun1; AltName: Acyltransferase 3; AltName: Capsaicin synthase; AltName: Protein PUNGENT 1 [Capsicum annuum]
5	Cc72_00034924-RA	GDSL esterase/lipase At5g33370; AltName: Extracellular lipase At5g33370; Precursor [Arabidopsis thaliana]
6	Cc72_00005017-RA	Very-long-chain aldehyde decarbonylase GL1-5; AltName: Protein ECERIFERUM 1; Short=Os-CER1; AltName: Protein GLOSSY 1-5 [Oryza sativa Indica Group]
7	Cc72_00005217-RA	Carotenoid cleavage dioxygenase 7, chloroplastic; Short=AtCCD7; AltName: AtNCED7; AltName: Beta,beta-carotene 9',10'-oxygenase; AltName: Protein MORE AXILLARY BRANCHING 3; AltName: Protein MORE AXILLARY GROWTH 3; Precursor [Arabidopsis thaliana]
8	Cc72_00039030-RA	Stemmadenine O-acetyltransferase; Short=CrSAT [Catharanthus roseus]
9	Cc72_00044059-RA	(E,E)-geranyllinalool synthase; Short=AtGES; AltName: Terpenoid synthase 4; Short=AtTPS04 [Arabidopsis thaliana]
